YEAR,Assigned_CBSA,Assigned_CBSATitle,age_recode,ed_recode,sample_n,UNEMP,var_n,se_n,cv_n,se2_n,moe_n,ed_label,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,UR,MOE_UR
2000,10420,"Akron, OH",16-19,1,22,531,,,,,,LTHS,72,1527,,,,,,0.347740668,
2000,10420,"Akron, OH",16-19,2,15,399,,,,,,HS,140,3281,,,,,,0.1216092655,
2000,10420,"Akron, OH",16-19,3,,,,,,,,SC,27,501,,,,,,,
2000,10420,"Akron, OH",20-24,0,38,916,,,,,,InSch,601,14832,,,,,,0.0617583603,
2000,10420,"Akron, OH",20-24,1,20,474,,,,,,LTHS,128,2999,,,,,,0.1580526842,
2000,10420,"Akron, OH",20-24,2,37,869,,,,,,HS,443,10779,,,,,,0.0806197235,
2000,10420,"Akron, OH",20-24,3,19,460,,,,,,SC,209,5175,,,,,,0.0888888889,
2000,10420,"Akron, OH",20-24,4,,,,,,,,AA,36,932,,,,,,,
2000,10420,"Akron, OH",20-24,5,,,,,,,,BA+,114,2758,,,,,,,
2000,10420,"Akron, OH",25-54,0,26,664,,,,,,InSch,677,15713,,,,,,0.0422580029,
2000,10420,"Akron, OH",25-54,1,80,1755,,,,,,LTHS,784,16949,,,,,,0.1035459319,
2000,10420,"Akron, OH",25-54,2,156,3571,,,,,,HS,3559,80803,,,,,,0.0441939037,
2000,10420,"Akron, OH",25-54,3,93,1991,,,,,,SC,2366,53551,,,,,,0.0371795111,
2000,10420,"Akron, OH",25-54,4,23,517,,,,,,AA,718,16293,,,,,,0.0317314184,
2000,10420,"Akron, OH",25-54,5,55,1304,,,,,,BA+,2910,67240,,,,,,0.0193932183,
2000,10580,"Albany-Schenectady-Troy, NY",16-19,0,280,5623,,,,,,InSch,1039,20847,,,,,,0.269727059,
2000,10580,"Albany-Schenectady-Troy, NY",16-19,1,39,858,,,,,,LTHS,116,2413,,,,,,0.3555739743,
2000,10580,"Albany-Schenectady-Troy, NY",16-19,2,26,512,,,,,,HS,119,2238,,,,,,0.2287756926,
2000,10580,"Albany-Schenectady-Troy, NY",16-19,3,,,,,,,,SC,23,445,,,,,,,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,0,148,3045,,,,,,InSch,702,15526,,,,,,0.196122633,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,1,21,402,,,,,,LTHS,144,3002,,,,,,0.1339107262,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,2,39,755,,,,,,HS,362,7516,,,,,,0.1004523683,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,3,15,332,,,,,,SC,247,5638,,,,,,0.0588861298,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,4,,,,,,,,AA,86,1775,,,,,,,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,5,6,168,,,,,,BA+,176,4238,,,,,,0.0396413403,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,0,33,707,,,,,,InSch,833,17050,,,,,,0.0414662757,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,1,117,1937,,,,,,LTHS,988,18590,,,,,,0.1041958042,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,2,181,3466,,,,,,HS,3872,73329,,,,,,0.0472664294,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,3,91,1816,,,,,,SC,2628,51900,,,,,,0.0349903661,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,4,47,939,,,,,,AA,1843,37388,,,,,,0.0251150102,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,5,73,1426,,,,,,BA+,4688,99368,,,,,,0.0143506964,
2000,10740,"Albuquerque, NM",16-19,0,114,2528,,,,,,InSch,653,14790,,,,,,0.1709263016,
2000,10740,"Albuquerque, NM",16-19,1,41,853,,,,,,LTHS,134,2910,,,,,,0.2931271478,
2000,10740,"Albuquerque, NM",16-19,2,29,591,,,,,,HS,137,3118,,,,,,0.1895445799,
2000,10740,"Albuquerque, NM",16-19,3,,,,,,,,SC,26,579,,,,,,,
2000,10740,"Albuquerque, NM",20-24,0,41,1147,,,,,,InSch,519,12677,,,,,,0.0904788199,
2000,10740,"Albuquerque, NM",20-24,1,44,952,,,,,,LTHS,257,5764,,,,,,0.1651630812,
2000,10740,"Albuquerque, NM",20-24,2,46,1034,,,,,,HS,427,9671,,,,,,0.1069175887,
2000,10740,"Albuquerque, NM",20-24,3,18,409,,,,,,SC,273,6416,,,,,,0.0637468828,
2000,10740,"Albuquerque, NM",20-24,4,,,,,,,,AA,36,817,,,,,,,
2000,10740,"Albuquerque, NM",20-24,5,,,,,,,,BA+,65,1571,,,,,,,
2000,10740,"Albuquerque, NM",25-54,0,49,1078,,,,,,InSch,949,21993,,,,,,0.0490155959,
2000,10740,"Albuquerque, NM",25-54,1,128,2609,,,,,,LTHS,1066,23536,,,,,,0.1108514616,
2000,10740,"Albuquerque, NM",25-54,2,169,3609,,,,,,HS,2565,57272,,,,,,0.0630150859,
2000,10740,"Albuquerque, NM",25-54,3,89,1942,,,,,,SC,2447,55682,,,,,,0.0348766208,
2000,10740,"Albuquerque, NM",25-54,4,25,500,,,,,,AA,722,16936,,,,,,0.0295229098,
2000,10740,"Albuquerque, NM",25-54,5,51,1153,,,,,,BA+,3089,70838,,,,,,0.0162765747,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,0,110,2443,,,,,,InSch,742,16272,,,,,,0.1501352016,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,1,37,781,,,,,,LTHS,75,1596,,,,,,0.4893483709,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,2,23,470,,,,,,HS,128,2982,,,,,,0.1576123407,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,3,,,,,,,,SC,18,393,,,,,,,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,0,54,1152,,,,,,InSch,383,8678,,,,,,0.1327494814,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,1,26,743,,,,,,LTHS,128,3053,,,,,,0.2433671798,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,2,26,660,,,,,,HS,381,9130,,,,,,0.0722891566,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,3,10,304,,,,,,SC,178,4337,,,,,,0.0700945354,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,4,5,76,,,,,,AA,76,1904,,,,,,0.0399159664,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,5,10,258,,,,,,BA+,138,3643,,,,,,0.0708207521,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,0,19,427,,,,,,InSch,630,14262,,,,,,0.0299396999,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,1,73,1815,,,,,,LTHS,971,22261,,,,,,0.0815327254,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,2,132,2637,,,,,,HS,4166,91847,,,,,,0.0287107908,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,3,73,1619,,,,,,SC,2207,48147,,,,,,0.0336261865,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,4,18,407,,,,,,AA,1032,22536,,,,,,0.0180599929,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,5,52,1144,,,,,,BA+,3086,68868,,,,,,0.0166114886,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",16-19,0,650,14179,,,,,,InSch,3391,76170,,,,,,0.1861494027,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",16-19,1,173,3778,,,,,,LTHS,840,18762,,,,,,0.2013644601,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",16-19,2,93,1936,,,,,,HS,624,13785,,,,,,0.14044251,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",16-19,3,8,250,,,,,,SC,96,2200,,,,,,0.1136363636,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",20-24,0,407,9284,,,,,,InSch,2426,57427,,,,,,0.1616661152,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",20-24,1,215,4986,,,,,,LTHS,1720,41763,,,,,,0.119387975,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",20-24,2,200,4937,,,,,,HS,2171,51635,,,,,,0.0956134405,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",20-24,3,88,2282,,,,,,SC,1384,34216,,,,,,0.0666939444,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",20-24,4,5,108,,,,,,AA,188,4713,,,,,,0.0229153405,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",20-24,5,39,1031,,,,,,BA+,1025,25587,,,,,,0.0402938992,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",25-54,0,176,4133,,,,,,InSch,4062,96649,,,,,,0.0427629877,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",25-54,1,615,14095,,,,,,LTHS,7243,164199,,,,,,0.0858409613,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",25-54,2,660,14965,,,,,,HS,15941,360095,,,,,,0.0415584776,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",25-54,3,472,11321,,,,,,SC,15186,356077,,,,,,0.0317936851,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",25-54,4,117,3104,,,,,,AA,4272,100507,,,,,,0.0308834211,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",25-54,5,438,10994,,,,,,BA+,24278,575877,,,,,,0.0190908823,
2000,12260,"Augusta-Richmond County, GA-SC",16-19,0,82,1686,,,,,,InSch,391,8308,,,,,,0.2029369283,
2000,12260,"Augusta-Richmond County, GA-SC",16-19,1,26,534,,,,,,LTHS,94,1911,,,,,,0.2794348509,
2000,12260,"Augusta-Richmond County, GA-SC",16-19,2,14,269,,,,,,HS,76,1670,,,,,,0.1610778443,
2000,12260,"Augusta-Richmond County, GA-SC",16-19,3,,,,,,,,SC,8,202,,,,,,,
2000,12260,"Augusta-Richmond County, GA-SC",20-24,0,29,572,,,,,,InSch,253,5712,,,,,,0.100140056,
2000,12260,"Augusta-Richmond County, GA-SC",20-24,1,40,895,,,,,,LTHS,172,3912,,,,,,0.2287832311,
2000,12260,"Augusta-Richmond County, GA-SC",20-24,2,40,921,,,,,,HS,257,5841,,,,,,0.1576784797,
2000,12260,"Augusta-Richmond County, GA-SC",20-24,3,11,233,,,,,,SC,144,3226,,,,,,0.0722256665,
2000,12260,"Augusta-Richmond County, GA-SC",20-24,4,,,,,,,,AA,24,572,,,,,,,
2000,12260,"Augusta-Richmond County, GA-SC",20-24,5,,,,,,,,BA+,60,1342,,,,,,,
2000,12260,"Augusta-Richmond County, GA-SC",25-54,0,21,488,,,,,,InSch,400,9301,,,,,,0.0524674766,
2000,12260,"Augusta-Richmond County, GA-SC",25-54,1,92,1969,,,,,,LTHS,796,16563,,,,,,0.1188794301,
2000,12260,"Augusta-Richmond County, GA-SC",25-54,2,121,2544,,,,,,HS,2086,43382,,,,,,0.058641833,
2000,12260,"Augusta-Richmond County, GA-SC",25-54,3,70,1584,,,,,,SC,1527,32691,,,,,,0.0484537029,
2000,12260,"Augusta-Richmond County, GA-SC",25-54,4,13,204,,,,,,AA,513,10918,,,,,,0.0186847408,
2000,12260,"Augusta-Richmond County, GA-SC",25-54,5,21,494,,,,,,BA+,1584,35477,,,,,,0.0139245145,
2000,12420,"Austin-Round Rock, TX",16-19,0,193,3954,,,,,,InSch,1344,27487,,,,,,0.1438498199,
2000,12420,"Austin-Round Rock, TX",16-19,1,59,1170,,,,,,LTHS,279,6166,,,,,,0.1897502433,
2000,12420,"Austin-Round Rock, TX",16-19,2,34,832,,,,,,HS,246,5770,,,,,,0.1441941075,
2000,12420,"Austin-Round Rock, TX",16-19,3,6,196,,,,,,SC,33,775,,,,,,0.2529032258,
2000,12420,"Austin-Round Rock, TX",20-24,0,120,2838,,,,,,InSch,1487,36915,,,,,,0.0768793174,
2000,12420,"Austin-Round Rock, TX",20-24,1,64,1452,,,,,,LTHS,589,13431,,,,,,0.1081081081,
2000,12420,"Austin-Round Rock, TX",20-24,2,75,1756,,,,,,HS,789,18210,,,,,,0.0964305327,
2000,12420,"Austin-Round Rock, TX",20-24,3,35,827,,,,,,SC,561,13847,,,,,,0.059724128,
2000,12420,"Austin-Round Rock, TX",20-24,4,,,,,,,,AA,66,1555,,,,,,,
2000,12420,"Austin-Round Rock, TX",20-24,5,11,268,,,,,,BA+,404,10608,,,,,,0.0252639517,
2000,12420,"Austin-Round Rock, TX",25-54,0,45,1031,,,,,,InSch,1579,36602,,,,,,0.0281678597,
2000,12420,"Austin-Round Rock, TX",25-54,1,132,2816,,,,,,LTHS,2509,54491,,,,,,0.0516782588,
2000,12420,"Austin-Round Rock, TX",25-54,2,157,3284,,,,,,HS,4581,93384,,,,,,0.0351666238,
2000,12420,"Austin-Round Rock, TX",25-54,3,116,2767,,,,,,SC,4888,108354,,,,,,0.0255366669,
2000,12420,"Austin-Round Rock, TX",25-54,4,25,556,,,,,,AA,1345,29500,,,,,,0.0188474576,
2000,12420,"Austin-Round Rock, TX",25-54,5,118,2614,,,,,,BA+,8325,190186,,,,,,0.0137444397,
2000,12540,"Bakersfield, CA",16-19,0,144,2948,,,,,,InSch,549,11032,,,,,,0.2672226251,
2000,12540,"Bakersfield, CA",16-19,1,53,1027,,,,,,LTHS,161,2948,,,,,,0.3483717775,
2000,12540,"Bakersfield, CA",16-19,2,46,894,,,,,,HS,155,3105,,,,,,0.2879227053,
2000,12540,"Bakersfield, CA",16-19,3,6,101,,,,,,SC,27,488,,,,,,0.2069672131,
2000,12540,"Bakersfield, CA",20-24,0,51,1103,,,,,,InSch,357,8033,,,,,,0.137308602,
2000,12540,"Bakersfield, CA",20-24,1,105,2213,,,,,,LTHS,375,7468,,,,,,0.2963310123,
2000,12540,"Bakersfield, CA",20-24,2,68,1416,,,,,,HS,405,8824,,,,,,0.1604714415,
2000,12540,"Bakersfield, CA",20-24,3,23,482,,,,,,SC,207,4426,,,,,,0.1089019431,
2000,12540,"Bakersfield, CA",20-24,4,,,,,,,,AA,29,707,,,,,,,
2000,12540,"Bakersfield, CA",20-24,5,,,,,,,,BA+,27,582,,,,,,,
2000,12540,"Bakersfield, CA",25-54,0,65,1452,,,,,,InSch,707,14781,,,,,,0.0982342196,
2000,12540,"Bakersfield, CA",25-54,1,504,9668,,,,,,LTHS,2314,45195,,,,,,0.2139174687,
2000,12540,"Bakersfield, CA",25-54,2,179,3615,,,,,,HS,1965,40366,,,,,,0.0895555666,
2000,12540,"Bakersfield, CA",25-54,3,107,2243,,,,,,SC,2037,44408,,,,,,0.0505089173,
2000,12540,"Bakersfield, CA",25-54,4,17,356,,,,,,AA,535,11070,,,,,,0.0321589883,
2000,12540,"Bakersfield, CA",25-54,5,28,609,,,,,,BA+,1265,27084,,,,,,0.0224856004,
2000,12580,"Baltimore-Columbia-Towson, MD",16-19,0,334,7496,,,,,,InSch,2202,49135,,,,,,0.1525592755,
2000,12580,"Baltimore-Columbia-Towson, MD",16-19,1,101,2315,,,,,,LTHS,296,6598,,,,,,0.3508638982,
2000,12580,"Baltimore-Columbia-Towson, MD",16-19,2,99,2368,,,,,,HS,433,9621,,,,,,0.2461282611,
2000,12580,"Baltimore-Columbia-Towson, MD",16-19,3,14,304,,,,,,SC,89,1868,,,,,,0.1627408994,
2000,12580,"Baltimore-Columbia-Towson, MD",20-24,0,122,2752,,,,,,InSch,1554,36617,,,,,,0.0751563481,
2000,12580,"Baltimore-Columbia-Towson, MD",20-24,1,118,2457,,,,,,LTHS,527,12066,,,,,,0.2036300348,
2000,12580,"Baltimore-Columbia-Towson, MD",20-24,2,132,3141,,,,,,HS,1138,27074,,,,,,0.1160153653,
2000,12580,"Baltimore-Columbia-Towson, MD",20-24,3,45,1052,,,,,,SC,730,17737,,,,,,0.0593110447,
2000,12580,"Baltimore-Columbia-Towson, MD",20-24,4,5,91,,,,,,AA,121,2656,,,,,,0.0342620482,
2000,12580,"Baltimore-Columbia-Towson, MD",20-24,5,24,533,,,,,,BA+,601,13735,,,,,,0.0388059701,
2000,12580,"Baltimore-Columbia-Towson, MD",25-54,0,103,2372,,,,,,InSch,3136,71326,,,,,,0.0332557553,
2000,12580,"Baltimore-Columbia-Towson, MD",25-54,1,411,9506,,,,,,LTHS,3534,78439,,,,,,0.1211897143,
2000,12580,"Baltimore-Columbia-Towson, MD",25-54,2,507,11868,,,,,,HS,10415,227675,,,,,,0.0521269353,
2000,12580,"Baltimore-Columbia-Towson, MD",25-54,3,271,6368,,,,,,SC,8762,193470,,,,,,0.0329146638,
2000,12580,"Baltimore-Columbia-Towson, MD",25-54,4,58,1327,,,,,,AA,2517,54838,,,,,,0.0241985485,
2000,12580,"Baltimore-Columbia-Towson, MD",25-54,5,219,4632,,,,,,BA+,13713,296020,,,,,,0.0156475914,
2000,12940,"Baton Rouge, LA",16-19,0,160,3256,,,,,,InSch,775,16803,,,,,,0.1937749211,
2000,12940,"Baton Rouge, LA",16-19,1,41,909,,,,,,LTHS,122,2551,,,,,,0.3563308506,
2000,12940,"Baton Rouge, LA",16-19,2,25,687,,,,,,HS,128,2842,,,,,,0.2417311752,
2000,12940,"Baton Rouge, LA",16-19,3,6,105,,,,,,SC,27,573,,,,,,0.1832460733,
2000,12940,"Baton Rouge, LA",20-24,0,62,1581,,,,,,InSch,732,19383,,,,,,0.081566321,
2000,12940,"Baton Rouge, LA",20-24,1,52,1205,,,,,,LTHS,256,5807,,,,,,0.2075081798,
2000,12940,"Baton Rouge, LA",20-24,2,47,1113,,,,,,HS,420,9506,,,,,,0.117083947,
2000,12940,"Baton Rouge, LA",20-24,3,18,516,,,,,,SC,268,6659,,,,,,0.0774891125,
2000,12940,"Baton Rouge, LA",20-24,4,,,,,,,,AA,23,495,,,,,,,
2000,12940,"Baton Rouge, LA",20-24,5,,,,,,,,BA+,114,2877,,,,,,,
2000,12940,"Baton Rouge, LA",25-54,0,32,794,,,,,,InSch,601,14491,,,,,,0.0547926299,
2000,12940,"Baton Rouge, LA",25-54,1,139,2922,,,,,,LTHS,1231,25079,,,,,,0.1165118226,
2000,12940,"Baton Rouge, LA",25-54,2,191,3799,,,,,,HS,3678,75532,,,,,,0.050296563,
2000,12940,"Baton Rouge, LA",25-54,3,93,2100,,,,,,SC,2317,52732,,,,,,0.0398240158,
2000,12940,"Baton Rouge, LA",25-54,4,15,296,,,,,,AA,332,7350,,,,,,0.0402721088,
2000,12940,"Baton Rouge, LA",25-54,5,39,1031,,,,,,BA+,2451,57996,,,,,,0.0177770881,
2000,13820,"Birmingham-Hoover, AL",16-19,0,164,3017,,,,,,InSch,773,16126,,,,,,0.1870891728,
2000,13820,"Birmingham-Hoover, AL",16-19,1,48,1037,,,,,,LTHS,189,3929,,,,,,0.2639348435,
2000,13820,"Birmingham-Hoover, AL",16-19,2,24,566,,,,,,HS,138,2880,,,,,,0.1965277778,
2000,13820,"Birmingham-Hoover, AL",16-19,3,,,,,,,,SC,22,479,,,,,,,
2000,13820,"Birmingham-Hoover, AL",20-24,0,90,1710,,,,,,InSch,580,13697,,,,,,0.1248448565,
2000,13820,"Birmingham-Hoover, AL",20-24,1,57,1253,,,,,,LTHS,358,7723,,,,,,0.1622426518,
2000,13820,"Birmingham-Hoover, AL",20-24,2,64,1526,,,,,,HS,522,11570,,,,,,0.1318928263,
2000,13820,"Birmingham-Hoover, AL",20-24,3,41,989,,,,,,SC,365,8575,,,,,,0.115335277,
2000,13820,"Birmingham-Hoover, AL",20-24,4,,,,,,,,AA,68,1432,,,,,,,
2000,13820,"Birmingham-Hoover, AL",20-24,5,7,167,,,,,,BA+,191,4749,,,,,,0.035165298,
2000,13820,"Birmingham-Hoover, AL",25-54,0,45,931,,,,,,InSch,819,18716,,,,,,0.0497435349,
2000,13820,"Birmingham-Hoover, AL",25-54,1,193,3852,,,,,,LTHS,1713,34033,,,,,,0.1131842623,
2000,13820,"Birmingham-Hoover, AL",25-54,2,210,4380,,,,,,HS,4163,86001,,,,,,0.0509296404,
2000,13820,"Birmingham-Hoover, AL",25-54,3,122,2556,,,,,,SC,3631,79782,,,,,,0.0320373016,
2000,13820,"Birmingham-Hoover, AL",25-54,4,28,581,,,,,,AA,1098,23639,,,,,,0.0245780278,
2000,13820,"Birmingham-Hoover, AL",25-54,5,58,1389,,,,,,BA+,4196,98920,,,,,,0.0140416498,
2000,14260,"Boise City, ID",16-19,0,49,1109,,,,,,InSch,375,9301,,,,,,0.1192344909,
2000,14260,"Boise City, ID",16-19,1,20,482,,,,,,LTHS,59,1424,,,,,,0.3384831461,
2000,14260,"Boise City, ID",16-19,2,10,270,,,,,,HS,112,3020,,,,,,0.0894039735,
2000,14260,"Boise City, ID",16-19,3,,,,,,,,SC,16,426,,,,,,,
2000,14260,"Boise City, ID",20-24,0,6,130,,,,,,InSch,214,5838,,,,,,0.0222679,
2000,14260,"Boise City, ID",20-24,1,21,618,,,,,,LTHS,145,4151,,,,,,0.148879788,
2000,14260,"Boise City, ID",20-24,2,32,1020,,,,,,HS,285,8295,,,,,,0.122965642,
2000,14260,"Boise City, ID",20-24,3,5,119,,,,,,SC,194,5741,,,,,,0.0207280962,
2000,14260,"Boise City, ID",20-24,4,,,,,,,,AA,34,1005,,,,,,,
2000,14260,"Boise City, ID",20-24,5,,,,,,,,BA+,51,1491,,,,,,,
2000,14260,"Boise City, ID",25-54,0,15,337,,,,,,InSch,376,10270,,,,,,0.0328140214,
2000,14260,"Boise City, ID",25-54,1,56,1285,,,,,,LTHS,611,14271,,,,,,0.090042744,
2000,14260,"Boise City, ID",25-54,2,54,1450,,,,,,HS,1382,36263,,,,,,0.0399856603,
2000,14260,"Boise City, ID",25-54,3,46,1253,,,,,,SC,1586,43072,,,,,,0.0290908247,
2000,14260,"Boise City, ID",25-54,4,7,162,,,,,,AA,418,11356,,,,,,0.0142655865,
2000,14260,"Boise City, ID",25-54,5,28,747,,,,,,BA+,1562,44056,,,,,,0.0169556928,
2000,14460,"Boston-Cambridge-Newton, MA-NH",16-19,0,644,13508,,,,,,InSch,4613,96714,,,,,,0.1396695411,
2000,14460,"Boston-Cambridge-Newton, MA-NH",16-19,1,85,1657,,,,,,LTHS,391,8074,,,,,,0.2052266535,
2000,14460,"Boston-Cambridge-Newton, MA-NH",16-19,2,78,1588,,,,,,HS,562,12059,,,,,,0.1316858778,
2000,14460,"Boston-Cambridge-Newton, MA-NH",16-19,3,12,271,,,,,,SC,121,2791,,,,,,0.0970978144,
2000,14460,"Boston-Cambridge-Newton, MA-NH",20-24,0,423,9492,,,,,,InSch,3857,85667,,,,,,0.1108011253,
2000,14460,"Boston-Cambridge-Newton, MA-NH",20-24,1,116,2641,,,,,,LTHS,726,15981,,,,,,0.1652587448,
2000,14460,"Boston-Cambridge-Newton, MA-NH",20-24,2,141,3020,,,,,,HS,1872,40956,,,,,,0.0737376697,
2000,14460,"Boston-Cambridge-Newton, MA-NH",20-24,3,77,1639,,,,,,SC,1162,26122,,,,,,0.0627440472,
2000,14460,"Boston-Cambridge-Newton, MA-NH",20-24,4,15,312,,,,,,AA,271,6023,,,,,,0.0518014279,
2000,14460,"Boston-Cambridge-Newton, MA-NH",20-24,5,49,1107,,,,,,BA+,1950,43256,,,,,,0.0255918254,
2000,14460,"Boston-Cambridge-Newton, MA-NH",25-54,0,222,4634,,,,,,InSch,6080,131723,,,,,,0.0351798851,
2000,14460,"Boston-Cambridge-Newton, MA-NH",25-54,1,479,10030,,,,,,LTHS,5507,115380,,,,,,0.0869301439,
2000,14460,"Boston-Cambridge-Newton, MA-NH",25-54,2,737,15982,,,,,,HS,16952,364679,,,,,,0.0438248432,
2000,14460,"Boston-Cambridge-Newton, MA-NH",25-54,3,406,8310,,,,,,SC,13048,278747,,,,,,0.02981198,
2000,14460,"Boston-Cambridge-Newton, MA-NH",25-54,4,147,3160,,,,,,AA,6130,131387,,,,,,0.0240510857,
2000,14460,"Boston-Cambridge-Newton, MA-NH",25-54,5,596,12705,,,,,,BA+,33809,719186,,,,,,0.0176658055,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",16-19,0,129,2669,,,,,,InSch,678,14235,,,,,,0.1874956094,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",16-19,1,24,486,,,,,,LTHS,89,1927,,,,,,0.2522055008,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",16-19,2,19,455,,,,,,HS,85,1888,,,,,,0.2409957627,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",16-19,3,,,,,,,,SC,19,384,,,,,,,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",20-24,0,99,1950,,,,,,InSch,452,9660,,,,,,0.201863354,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",20-24,1,39,875,,,,,,LTHS,208,4627,,,,,,0.189107413,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",20-24,2,24,468,,,,,,HS,336,7347,,,,,,0.0636994692,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",20-24,3,14,362,,,,,,SC,208,4862,,,,,,0.0744549568,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",20-24,4,,,,,,,,AA,36,816,,,,,,,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",20-24,5,12,276,,,,,,BA+,254,5686,,,,,,0.0485402744,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",25-54,0,44,934,,,,,,InSch,943,19850,,,,,,0.0470528967,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",25-54,1,124,2664,,,,,,LTHS,1317,28563,,,,,,0.0932675139,
