YEAR,Assigned_CBSA,Assigned_CBSATitle,age_recode,ed_recode,sample_n,EMP,var_n,se_n,cv_n,se2_n,moe_n,ed_label,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,ER,MOE_ER
2000,10420,"Akron, OH",16-19,3,24,457,,,,,,SC,28,526,,,,,,0.8688212928,
2000,10420,"Akron, OH",20-24,0,563,13916,,,,,,InSch,777,19053,,,,,,0.7303836666,
2000,10420,"Akron, OH",20-24,1,108,2525,,,,,,LTHS,167,3805,,,,,,0.6636005256,
2000,10420,"Akron, OH",20-24,2,406,9910,,,,,,HS,508,12220,,,,,,0.8109656301,
2000,10420,"Akron, OH",20-24,3,190,4715,,,,,,SC,226,5622,,,,,,0.8386695126,
2000,10420,"Akron, OH",20-24,4,35,913,,,,,,AA,40,1063,,,,,,0.8588899341,
2000,10420,"Akron, OH",20-24,5,112,2687,,,,,,BA+,117,2843,,,,,,0.9451283855,
2000,10420,"Akron, OH",25-54,0,651,15049,,,,,,InSch,827,19051,,,,,,0.789932287,
2000,10420,"Akron, OH",25-54,1,704,15194,,,,,,LTHS,1163,25555,,,,,,0.5945607513,
2000,10420,"Akron, OH",25-54,2,3403,77232,,,,,,HS,4412,99334,,,,,,0.7774981376,
2000,10420,"Akron, OH",25-54,3,2273,51560,,,,,,SC,2745,62588,,,,,,0.8238000895,
2000,10420,"Akron, OH",25-54,4,695,15776,,,,,,AA,818,18695,,,,,,0.8438619952,
2000,10420,"Akron, OH",25-54,5,2855,65936,,,,,,BA+,3241,75033,,,,,,0.8787600123,
2000,10580,"Albany-Schenectady-Troy, NY",16-19,0,759,15224,,,,,,InSch,1944,38000,,,,,,0.4006315789,
2000,10580,"Albany-Schenectady-Troy, NY",16-19,1,77,1555,,,,,,LTHS,152,3084,,,,,,0.5042153048,
2000,10580,"Albany-Schenectady-Troy, NY",16-19,2,93,1726,,,,,,HS,140,2693,,,,,,0.6409209061,
2000,10580,"Albany-Schenectady-Troy, NY",16-19,3,22,439,,,,,,SC,27,528,,,,,,0.8314393939,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,0,554,12481,,,,,,InSch,1053,23188,,,,,,0.5382525444,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,1,123,2600,,,,,,LTHS,209,4318,,,,,,0.602130616,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,2,323,6761,,,,,,HS,442,9291,,,,,,0.7276934668,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,3,232,5306,,,,,,SC,277,6346,,,,,,0.8361172392,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,4,82,1682,,,,,,AA,96,1969,,,,,,0.8542407313,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,5,170,4070,,,,,,BA+,191,4581,,,,,,0.888452303,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,0,800,16343,,,,,,InSch,1032,21184,,,,,,0.7714784743,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,1,871,16653,,,,,,LTHS,1487,28476,,,,,,0.5848082596,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,2,3691,69863,,,,,,HS,4650,88777,,,,,,0.7869493225,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,3,2537,50084,,,,,,SC,3032,60023,,,,,,0.8344134748,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,4,1796,36449,,,,,,AA,2108,42486,,,,,,0.8579061338,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,5,4615,97942,,,,,,BA+,5074,107577,,,,,,0.9104362457,
2000,10740,"Albuquerque, NM",16-19,0,539,12262,,,,,,InSch,1413,30341,,,,,,0.4041396131,
2000,10740,"Albuquerque, NM",16-19,1,93,2057,,,,,,LTHS,235,4833,,,,,,0.4256155597,
2000,10740,"Albuquerque, NM",16-19,2,108,2527,,,,,,HS,186,4126,,,,,,0.612457586,
2000,10740,"Albuquerque, NM",16-19,3,24,525,,,,,,SC,28,606,,,,,,0.8663366337,
2000,10740,"Albuquerque, NM",20-24,0,478,11530,,,,,,InSch,722,17292,,,,,,0.6667823271,
2000,10740,"Albuquerque, NM",20-24,1,213,4812,,,,,,LTHS,380,8584,,,,,,0.5605778192,
2000,10740,"Albuquerque, NM",20-24,2,381,8637,,,,,,HS,543,11975,,,,,,0.7212526096,
2000,10740,"Albuquerque, NM",20-24,3,255,6007,,,,,,SC,322,7649,,,,,,0.7853314159,
2000,10740,"Albuquerque, NM",20-24,4,34,790,,,,,,AA,40,885,,,,,,0.8926553672,
2000,10740,"Albuquerque, NM",20-24,5,62,1471,,,,,,BA+,71,1696,,,,,,0.8673349057,
2000,10740,"Albuquerque, NM",25-54,0,900,20915,,,,,,InSch,1276,29433,,,,,,0.710596949,
2000,10740,"Albuquerque, NM",25-54,1,938,20927,,,,,,LTHS,1787,39155,,,,,,0.5344655855,
2000,10740,"Albuquerque, NM",25-54,2,2396,53663,,,,,,HS,3407,74722,,,,,,0.7181686786,
2000,10740,"Albuquerque, NM",25-54,3,2358,53740,,,,,,SC,2969,67480,,,,,,0.7963841138,
2000,10740,"Albuquerque, NM",25-54,4,697,16436,,,,,,AA,830,19454,,,,,,0.8448648093,
2000,10740,"Albuquerque, NM",25-54,5,3038,69685,,,,,,BA+,3498,80253,,,,,,0.8683164492,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,0,632,13829,,,,,,InSch,1534,33309,,,,,,0.4151730763,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,1,38,815,,,,,,LTHS,98,2180,,,,,,0.373853211,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,2,105,2512,,,,,,HS,149,3502,,,,,,0.7173043975,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,3,15,313,,,,,,SC,19,418,,,,,,0.7488038278,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,0,329,7526,,,,,,InSch,628,15028,,,,,,0.5007985094,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,1,102,2310,,,,,,LTHS,173,4193,,,,,,0.550918197,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,2,355,8470,,,,,,HS,442,10803,,,,,,0.78404147,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,3,168,4033,,,,,,SC,195,4676,,,,,,0.8624893071,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,4,71,1828,,,,,,AA,78,1929,,,,,,0.9476412649,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,5,128,3385,,,,,,BA+,146,3877,,,,,,0.873097756,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,0,611,13835,,,,,,InSch,771,17572,,,,,,0.7873321193,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,1,898,20446,,,,,,LTHS,1398,32185,,,,,,0.6352648749,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,2,4034,89210,,,,,,HS,5074,111895,,,,,,0.7972652934,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,3,2134,46528,,,,,,SC,2551,55821,,,,,,0.8335214346,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,4,1014,22129,,,,,,AA,1193,25829,,,,,,0.8567501645,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,5,3034,67724,,,,,,BA+,3433,76613,,,,,,0.8839753045,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",16-19,0,2741,61991,,,,,,InSch,7466,167249,,,,,,0.3706509456,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",16-19,1,667,14984,,,,,,LTHS,1263,27776,,,,,,0.5394585253,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",16-19,2,531,11849,,,,,,HS,808,18225,,,,,,0.6501508916,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",16-19,3,88,1950,,,,,,SC,120,2781,,,,,,0.7011866235,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",20-24,0,2019,48143,,,,,,InSch,3406,81372,,,,,,0.5916408593,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",20-24,1,1505,36777,,,,,,LTHS,2363,57323,,,,,,0.641574935,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",20-24,2,1971,46698,,,,,,HS,2675,63606,,,,,,0.7341760211,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",20-24,3,1296,31934,,,,,,SC,1604,39760,,,,,,0.8031690141,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",20-24,4,183,4605,,,,,,AA,212,5274,,,,,,0.8731513083,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",20-24,5,986,24556,,,,,,BA+,1120,27888,,,,,,0.8805220884,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",25-54,0,3886,92516,,,,,,InSch,5091,120564,,,,,,0.7673600743,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",25-54,1,6628,150104,,,,,,LTHS,10691,241412,,,,,,0.6217752224,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",25-54,2,15281,345130,,,,,,HS,20161,456750,,,,,,0.755621237,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",25-54,3,14714,344756,,,,,,SC,18048,423390,,,,,,0.8142752545,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",25-54,4,4155,97403,,,,,,AA,4975,116620,,,,,,0.8352169439,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",25-54,5,23840,564883,,,,,,BA+,27463,651014,,,,,,0.8676971617,
2000,12260,"Augusta-Richmond County, GA-SC",16-19,0,309,6622,,,,,,InSch,930,19743,,,,,,0.3354100187,
2000,12260,"Augusta-Richmond County, GA-SC",16-19,1,68,1377,,,,,,LTHS,138,2732,,,,,,0.5040263543,
2000,12260,"Augusta-Richmond County, GA-SC",16-19,2,62,1401,,,,,,HS,109,2393,,,,,,0.5854575846,
2000,12260,"Augusta-Richmond County, GA-SC",16-19,3,7,187,,,,,,SC,10,235,,,,,,0.7957446809,
2000,12260,"Augusta-Richmond County, GA-SC",20-24,0,224,5140,,,,,,InSch,381,8578,,,,,,0.5992072744,
2000,12260,"Augusta-Richmond County, GA-SC",20-24,1,132,3017,,,,,,LTHS,236,5360,,,,,,0.5628731343,
2000,12260,"Augusta-Richmond County, GA-SC",20-24,2,217,4920,,,,,,HS,336,7453,,,,,,0.6601368576,
2000,12260,"Augusta-Richmond County, GA-SC",20-24,3,133,2993,,,,,,SC,173,3844,,,,,,0.778616025,
2000,12260,"Augusta-Richmond County, GA-SC",20-24,4,22,546,,,,,,AA,25,593,,,,,,0.9207419899,
2000,12260,"Augusta-Richmond County, GA-SC",20-24,5,57,1272,,,,,,BA+,67,1497,,,,,,0.8496993988,
2000,12260,"Augusta-Richmond County, GA-SC",25-54,0,379,8813,,,,,,InSch,546,12577,,,,,,0.700723543,
2000,12260,"Augusta-Richmond County, GA-SC",25-54,1,704,14594,,,,,,LTHS,1309,27061,,,,,,0.5393000998,
2000,12260,"Augusta-Richmond County, GA-SC",25-54,2,1965,40838,,,,,,HS,2684,55910,,,,,,0.7304238955,
2000,12260,"Augusta-Richmond County, GA-SC",25-54,3,1457,31107,,,,,,SC,1869,40315,,,,,,0.7715986605,
2000,12260,"Augusta-Richmond County, GA-SC",25-54,4,500,10714,,,,,,AA,592,12692,,,,,,0.8441537977,
2000,12260,"Augusta-Richmond County, GA-SC",25-54,5,1563,34983,,,,,,BA+,1800,40417,,,,,,0.8655516243,
2000,12420,"Austin-Round Rock, TX",16-19,0,1151,23533,,,,,,InSch,3098,62177,,,,,,0.3784840053,
2000,12420,"Austin-Round Rock, TX",16-19,1,220,4996,,,,,,LTHS,403,8835,,,,,,0.5654782117,
2000,12420,"Austin-Round Rock, TX",16-19,2,212,4938,,,,,,HS,305,7055,,,,,,0.6999291283,
2000,12420,"Austin-Round Rock, TX",16-19,3,27,579,,,,,,SC,43,974,,,,,,0.5944558522,
2000,12420,"Austin-Round Rock, TX",20-24,0,1367,34077,,,,,,InSch,2231,55031,,,,,,0.6192327961,
2000,12420,"Austin-Round Rock, TX",20-24,1,525,11979,,,,,,LTHS,822,19028,,,,,,0.6295459323,
2000,12420,"Austin-Round Rock, TX",20-24,2,714,16454,,,,,,HS,997,22914,,,,,,0.7180762852,
2000,12420,"Austin-Round Rock, TX",20-24,3,526,13020,,,,,,SC,631,15552,,,,,,0.837191358,
2000,12420,"Austin-Round Rock, TX",20-24,4,62,1474,,,,,,AA,71,1666,,,,,,0.8847539016,
2000,12420,"Austin-Round Rock, TX",20-24,5,393,10340,,,,,,BA+,428,11132,,,,,,0.9288537549,
2000,12420,"Austin-Round Rock, TX",25-54,0,1534,35571,,,,,,InSch,2043,47350,,,,,,0.7512354805,
2000,12420,"Austin-Round Rock, TX",25-54,1,2377,51675,,,,,,LTHS,3705,80130,,,,,,0.6448895545,
2000,12420,"Austin-Round Rock, TX",25-54,2,4424,90100,,,,,,HS,5690,116146,,,,,,0.7757477657,
2000,12420,"Austin-Round Rock, TX",25-54,3,4772,105587,,,,,,SC,5785,128338,,,,,,0.8227259268,
2000,12420,"Austin-Round Rock, TX",25-54,4,1320,28944,,,,,,AA,1541,33708,,,,,,0.8586685653,
2000,12420,"Austin-Round Rock, TX",25-54,5,8207,187572,,,,,,BA+,9292,212158,,,,,,0.8841146693,
2000,12540,"Bakersfield, CA",16-19,0,405,8084,,,,,,InSch,1588,31736,,,,,,0.2547264936,
2000,12540,"Bakersfield, CA",16-19,1,108,1921,,,,,,LTHS,266,4821,,,,,,0.3984650487,
2000,12540,"Bakersfield, CA",16-19,2,109,2211,,,,,,HS,210,4291,,,,,,0.5152645071,
2000,12540,"Bakersfield, CA",16-19,3,21,387,,,,,,SC,34,619,,,,,,0.6252019386,
2000,12540,"Bakersfield, CA",20-24,0,306,6930,,,,,,InSch,516,11222,,,,,,0.6175369809,
2000,12540,"Bakersfield, CA",20-24,1,270,5255,,,,,,LTHS,575,11562,,,,,,0.4545061408,
2000,12540,"Bakersfield, CA",20-24,2,337,7408,,,,,,HS,535,11627,,,,,,0.6371376967,
2000,12540,"Bakersfield, CA",20-24,3,184,3944,,,,,,SC,273,5862,,,,,,0.6728079154,
2000,12540,"Bakersfield, CA",20-24,4,27,635,,,,,,AA,36,861,,,,,,0.737514518,
2000,12540,"Bakersfield, CA",20-24,5,26,566,,,,,,BA+,39,838,,,,,,0.6754176611,
2000,12540,"Bakersfield, CA",25-54,0,642,13329,,,,,,InSch,918,19114,,,,,,0.6973422622,
2000,12540,"Bakersfield, CA",25-54,1,1810,35527,,,,,,LTHS,3750,72651,,,,,,0.4890090983,
2000,12540,"Bakersfield, CA",25-54,2,1786,36751,,,,,,HS,2734,56099,,,,,,0.6551097168,
2000,12540,"Bakersfield, CA",25-54,3,1930,42165,,,,,,SC,2575,55601,,,,,,0.75834967,
2000,12540,"Bakersfield, CA",25-54,4,518,10714,,,,,,AA,674,14074,,,,,,0.7612619014,
2000,12540,"Bakersfield, CA",25-54,5,1237,26475,,,,,,BA+,1473,31247,,,,,,0.847281339,
2000,12580,"Baltimore-Columbia-Towson, MD",16-19,0,1868,41639,,,,,,InSch,4685,102988,,,,,,0.4043092399,
2000,12580,"Baltimore-Columbia-Towson, MD",16-19,1,195,4283,,,,,,LTHS,519,11630,,,,,,0.3682717111,
2000,12580,"Baltimore-Columbia-Towson, MD",16-19,2,334,7253,,,,,,HS,555,12347,,,,,,0.587430145,
2000,12580,"Baltimore-Columbia-Towson, MD",16-19,3,75,1564,,,,,,SC,103,2223,,,,,,0.7035537562,
2000,12580,"Baltimore-Columbia-Towson, MD",16-19,4,,,,,,,,AA,6,121,,,,,,,
2000,12580,"Baltimore-Columbia-Towson, MD",20-24,0,1432,33865,,,,,,InSch,2224,53336,,,,,,0.6349370031,
2000,12580,"Baltimore-Columbia-Towson, MD",20-24,1,409,9609,,,,,,LTHS,782,18123,,,,,,0.5302102301,
2000,12580,"Baltimore-Columbia-Towson, MD",20-24,2,1006,23933,,,,,,HS,1385,33308,,,,,,0.7185360874,
2000,12580,"Baltimore-Columbia-Towson, MD",20-24,3,685,16685,,,,,,SC,845,20482,,,,,,0.8146177131,
2000,12580,"Baltimore-Columbia-Towson, MD",20-24,4,116,2565,,,,,,AA,130,2905,,,,,,0.8829604131,
2000,12580,"Baltimore-Columbia-Towson, MD",20-24,5,577,13202,,,,,,BA+,644,14674,,,,,,0.8996865204,
2000,12580,"Baltimore-Columbia-Towson, MD",25-54,0,3033,68954,,,,,,InSch,3861,88162,,,,,,0.7821283546,
2000,12580,"Baltimore-Columbia-Towson, MD",25-54,1,3123,68933,,,,,,LTHS,5562,123556,,,,,,0.5579089644,
2000,12580,"Baltimore-Columbia-Towson, MD",25-54,2,9908,215807,,,,,,HS,12972,284842,,,,,,0.7576375675,
2000,12580,"Baltimore-Columbia-Towson, MD",25-54,3,8491,187102,,,,,,SC,10254,226543,,,,,,0.8259006017,
2000,12580,"Baltimore-Columbia-Towson, MD",25-54,4,2459,53511,,,,,,AA,2892,63146,,,,,,0.8474170969,
2000,12580,"Baltimore-Columbia-Towson, MD",25-54,5,13494,291388,,,,,,BA+,15222,329189,,,,,,0.88516931,
2000,12940,"Baton Rouge, LA",16-19,0,615,13547,,,,,,InSch,1853,38781,,,,,,0.3493205436,
2000,12940,"Baton Rouge, LA",16-19,1,81,1642,,,,,,LTHS,216,4198,,,,,,0.3911386374,
2000,12940,"Baton Rouge, LA",16-19,2,103,2155,,,,,,HS,184,3936,,,,,,0.5475101626,
2000,12940,"Baton Rouge, LA",16-19,3,21,468,,,,,,SC,34,703,,,,,,0.6657183499,
2000,12940,"Baton Rouge, LA",20-24,0,670,17802,,,,,,InSch,1082,28108,,,,,,0.6333428205,
2000,12940,"Baton Rouge, LA",20-24,1,204,4602,,,,,,LTHS,391,8898,,,,,,0.5171948753,
2000,12940,"Baton Rouge, LA",20-24,2,373,8393,,,,,,HS,556,12415,,,,,,0.676037052,
2000,12940,"Baton Rouge, LA",20-24,3,250,6143,,,,,,SC,323,8050,,,,,,0.7631055901,
2000,12940,"Baton Rouge, LA",20-24,4,23,495,,,,,,AA,23,495,,,,,,1,
2000,12940,"Baton Rouge, LA",20-24,5,112,2829,,,,,,BA+,123,3102,,,,,,0.9119922631,
2000,12940,"Baton Rouge, LA",25-54,0,569,13697,,,,,,InSch,791,18779,,,,,,0.7293785612,
2000,12940,"Baton Rouge, LA",25-54,1,1092,22157,,,,,,LTHS,2048,41511,,,,,,0.5337621353,
2000,12940,"Baton Rouge, LA",25-54,2,3487,71733,,,,,,HS,4820,98011,,,,,,0.7318872371,
2000,12940,"Baton Rouge, LA",25-54,3,2224,50632,,,,,,SC,2794,62819,,,,,,0.8059981853,
2000,12940,"Baton Rouge, LA",25-54,4,317,7054,,,,,,AA,385,8433,,,,,,0.83647575,
2000,12940,"Baton Rouge, LA",25-54,5,2412,56965,,,,,,BA+,2757,65364,,,,,,0.8715041919,
2000,13820,"Birmingham-Hoover, AL",16-19,0,609,13109,,,,,,InSch,2101,42992,,,,,,0.3049171939,
2000,13820,"Birmingham-Hoover, AL",16-19,1,141,2892,,,,,,LTHS,302,6237,,,,,,0.4636844637,
2000,13820,"Birmingham-Hoover, AL",16-19,2,114,2314,,,,,,HS,191,4095,,,,,,0.5650793651,
2000,13820,"Birmingham-Hoover, AL",16-19,3,19,381,,,,,,SC,33,679,,,,,,0.5611192931,
2000,13820,"Birmingham-Hoover, AL",20-24,0,490,11987,,,,,,InSch,882,20752,,,,,,0.5776310717,
2000,13820,"Birmingham-Hoover, AL",20-24,1,301,6470,,,,,,LTHS,556,11829,,,,,,0.5469608589,
2000,13820,"Birmingham-Hoover, AL",20-24,2,458,10044,,,,,,HS,669,14697,,,,,,0.6834047765,
2000,13820,"Birmingham-Hoover, AL",20-24,3,324,7586,,,,,,SC,439,10284,,,,,,0.7376507196,
2000,13820,"Birmingham-Hoover, AL",20-24,4,65,1346,,,,,,AA,75,1582,,,,,,0.8508217446,
2000,13820,"Birmingham-Hoover, AL",20-24,5,184,4582,,,,,,BA+,204,5062,,,,,,0.9051758198,
2000,13820,"Birmingham-Hoover, AL",25-54,0,774,17785,,,,,,InSch,1070,24547,,,,,,0.7245284556,
2000,13820,"Birmingham-Hoover, AL",25-54,1,1520,30181,,,,,,LTHS,2892,56638,,,,,,0.5328754546,
2000,13820,"Birmingham-Hoover, AL",25-54,2,3953,81621,,,,,,HS,5554,114757,,,,,,0.7112507298,
2000,13820,"Birmingham-Hoover, AL",25-54,3,3509,77226,,,,,,SC,4472,97701,,,,,,0.7904320324,
2000,13820,"Birmingham-Hoover, AL",25-54,4,1070,23058,,,,,,AA,1313,28129,,,,,,0.8197234171,
2000,13820,"Birmingham-Hoover, AL",25-54,5,4138,97531,,,,,,BA+,4752,111789,,,,,,0.8724561451,
2000,14260,"Boise City, ID",16-19,0,326,8192,,,,,,InSch,742,18567,,,,,,0.4412129046,
2000,14260,"Boise City, ID",16-19,1,39,942,,,,,,LTHS,92,2107,,,,,,0.447081158,
2000,14260,"Boise City, ID",16-19,2,102,2750,,,,,,HS,132,3547,,,,,,0.775303073,
2000,14260,"Boise City, ID",16-19,3,15,390,,,,,,SC,18,473,,,,,,0.8245243129,
2000,14260,"Boise City, ID",20-24,0,208,5708,,,,,,InSch,286,7838,,,,,,0.7282470018,
2000,14260,"Boise City, ID",20-24,1,124,3533,,,,,,LTHS,193,5315,,,,,,0.6647224835,
2000,14260,"Boise City, ID",20-24,2,253,7275,,,,,,HS,326,9385,,,,,,0.7751731486,
2000,14260,"Boise City, ID",20-24,3,189,5622,,,,,,SC,227,6745,,,,,,0.833506301,
2000,14260,"Boise City, ID",20-24,4,34,1005,,,,,,AA,39,1126,,,,,,0.8925399645,
2000,14260,"Boise City, ID",20-24,5,49,1462,,,,,,BA+,56,1614,,,,,,0.9058240397,
2000,14260,"Boise City, ID",25-54,0,361,9933,,,,,,InSch,451,12383,,,,,,0.8021481063,
2000,14260,"Boise City, ID",25-54,1,555,12986,,,,,,LTHS,808,18929,,,,,,0.6860372973,
2000,14260,"Boise City, ID",25-54,2,1328,34813,,,,,,HS,1651,43168,,,,,,0.8064538547,
2000,14260,"Boise City, ID",25-54,3,1540,41819,,,,,,SC,1880,51027,,,,,,0.8195465146,
2000,14260,"Boise City, ID",25-54,4,411,11194,,,,,,AA,486,13166,,,,,,0.8502202643,
2000,14260,"Boise City, ID",25-54,5,1534,43309,,,,,,BA+,1713,48267,,,,,,0.8972797149,
2000,14460,"Boston-Cambridge-Newton, MA-NH",16-19,0,3969,83206,,,,,,InSch,9555,197460,,,,,,0.4213815456,
2000,14460,"Boston-Cambridge-Newton, MA-NH",16-19,1,306,6417,,,,,,LTHS,644,13204,,,,,,0.4859890942,
2000,14460,"Boston-Cambridge-Newton, MA-NH",16-19,2,484,10471,,,,,,HS,703,14803,,,,,,0.7073566169,
2000,14460,"Boston-Cambridge-Newton, MA-NH",16-19,3,109,2520,,,,,,SC,142,3217,,,,,,0.7833385141,
2000,14460,"Boston-Cambridge-Newton, MA-NH",20-24,0,3434,76175,,,,,,InSch,5899,131419,,,,,,0.5796346038,
2000,14460,"Boston-Cambridge-Newton, MA-NH",20-24,1,610,13340,,,,,,LTHS,1066,22936,,,,,,0.5816184165,
2000,14460,"Boston-Cambridge-Newton, MA-NH",20-24,2,1731,37936,,,,,,HS,2244,48845,,,,,,0.776660866,
2000,14460,"Boston-Cambridge-Newton, MA-NH",20-24,3,1085,24483,,,,,,SC,1315,29506,,,,,,0.8297634379,
2000,14460,"Boston-Cambridge-Newton, MA-NH",20-24,4,256,5711,,,,,,AA,303,6803,,,,,,0.8394825812,
2000,14460,"Boston-Cambridge-Newton, MA-NH",20-24,5,1901,42149,,,,,,BA+,2088,46261,,,,,,0.9111130326,
2000,14460,"Boston-Cambridge-Newton, MA-NH",25-54,0,5858,127089,,,,,,InSch,7901,170126,,,,,,0.7470286729,
2000,14460,"Boston-Cambridge-Newton, MA-NH",25-54,1,5028,105350,,,,,,LTHS,8500,177653,,,,,,0.5930099689,
2000,14460,"Boston-Cambridge-Newton, MA-NH",25-54,2,16215,348697,,,,,,HS,21021,451202,,,,,,0.7728179396,
2000,14460,"Boston-Cambridge-Newton, MA-NH",25-54,3,12642,270437,,,,,,SC,15406,329376,,,,,,0.8210586078,
2000,14460,"Boston-Cambridge-Newton, MA-NH",25-54,4,5983,128227,,,,,,AA,7191,154582,,,,,,0.8295079634,
2000,14460,"Boston-Cambridge-Newton, MA-NH",25-54,5,33213,706481,,,,,,BA+,37707,801983,,,,,,0.8809176753,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",16-19,0,549,11566,,,,,,InSch,1633,33455,,,,,,0.3457181288,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",16-19,1,65,1441,,,,,,LTHS,141,2942,,,,,,0.4898028552,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",16-19,2,66,1433,,,,,,HS,120,2620,,,,,,0.5469465649,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",16-19,3,19,384,,,,,,SC,24,493,,,,,,0.7789046653,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",20-24,0,353,7710,,,,,,InSch,716,15688,,,,,,0.4914584396,
